Id,Title,Magazines publications,Book publications,Post-conference publications,Equipment,Equipment cost,Equipment count,Manager,Managers title,Unit,Voivodeship
2018/31/N/HS4/03479,Rola organizacji miejskiej przestrzeni rekreacyjnej w rozwoju rekreacji twórczej. Przykład Łodzi.,0,0,0,,0,0,Aleksandra Mroczek-Żulicka,mgr,"Wydział Nauk Geograficznych, Wydział Nauk Geograficznych",łódzkie
2018/31/N/HS5/01999,Wykorzystanie bezzałogowych statków powietrznych w pracy Policji,0,0,0,,0,0,Łukasz Dziura,mgr,"Wydział Prawa i Administracji, Wydział Prawa i Administracji",małopolskie
2018/31/N/HS5/02255,Algorytmiczne ustalanie cen w świetle zakazu zawierania antykonkurencyjnych porozumień,0,0,0,,0,0,Marcin Mleczko,mgr,Instytut Nauk Prawnych Polskiej Akademii Nauk,mazowieckie
2018/31/N/HS5/02781,Związki zawodowe wobec ograniczenia prawa do strajku,0,0,0,,0,0,Katarzyna Rakowska,mgr,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii, Wydział Filozofii i Socjologii",mazowieckie
2018/31/N/HS5/03164,Nudge jako instrument regulacji prawnej,0,0,0,,0,0,Maria Pawińska,mgr,"Wydział Prawa i Administracji, Wydział Prawa i Administracji",śląskie
2018/31/N/HS5/03823,Na skraju demokracji? Praktyka reallizacji czynnego prawa wyborczego przez osoby w sytuacji bezdomności,0,0,0,,0,0,Martyna Hoffman,mgr,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Humanistyczny, Wydział Humanistyczny",kujawsko-pomorskie
2018/31/N/HS6/00245,Podmiotowe uwarunkowania motywacji oraz poziomu wykonania w sportach wytrzymałościowych: Rola perspektywy czasowej,0,0,0,,0,0,Dominika Pruszczak,mgr,"Uniwersytet Warszawski, Wydział Psychologii, Wydział Psychologii",mazowieckie
2018/31/N/HS6/03962,Odwrócić uwagę czy zmienić perspektywę? Rola czynników kontekstowych w modulowaniu efektywności poznawczych form regulacji emocji.,0,0,0,,0,0,Agnieszka Adamczyk,mgr,"Wydział Filozoficzny, Wydział Filozoficzny",małopolskie
2011/01/N/HS2/01820,"Najstarszy zachowany manuskrypt buddyjskiego tekstu sanskryckiego pt. Mahawastu - edycja dyplomatyczna wraz z komentarzem gramatycznym i paleograficznym oraz porównanie z wybranymi, późniejszymi manuskryptami tekstu",0,1,0,Notebook Asus,2041,1,Katarzyna Marciniak,mgr,"Uniwersytet Warszawski, Wydział Orientalistyczny",mazowieckie
2011/01/N/HS6/02279,"Re-konstrukcja codzienności. Społeczność miasta powiatowego tuż po wojnie: Kalisz, 1945-1948.",1,1,0,Citavi Pro 3 - imienna licencja na program komputerowy do organizacji zebranego materiału badawczego i notatek,546,1,Łukasz Krzyżanowski,mgr,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii",mazowieckie
2011/01/N/HS6/03139,Psychologiczna dekompozycja funkcji wag decyzyjnych w skumulowanej teorii perspektywy. Rola podstawowych procesów afektywnych w ocenie prawdopodobieństwa,3,0,0,"Komputer wraz z oprogramowaniem, Oprogramowanie do prowadzenia badań, Bateria do komputera przenośnego",6239,3,Jakub Traczyk,dr,"Szkoła Wyższa Psychologii Społecznej w Warszawie, Wydział Zamiejscowy we Wrocławiu",mazowieckie
