Id,Descriptors
2011/01/N/HS5/04692,HS5_8
2011/03/N/HS1/04197,HS1_11
2011/03/N/HS1/04197,HS2_1
2011/03/N/HS1/04197,HS1_15
2011/03/N/HS2/01000,HS2_14
2011/03/N/HS2/01000,HS2_2
2011/03/N/HS2/02925,HS2_1
2011/03/N/HS2/02925,HS2_2
2011/03/N/HS2/06233,HS2_14
2011/03/N/HS2/06233,HS2_2
2011/03/N/HS2/06233,HS2_8
2011/03/N/HS2/06257,HS2_2
2011/03/N/HS2/06257,HS2_14
2011/03/N/HS2/06257,HS3_5
2011/03/N/HS3/02016,HS3_8
2011/03/N/HS3/03813,HS3_11
2011/03/N/HS3/03973,ST10_11
2011/03/N/HS3/04061,HS3_2
2011/03/N/HS3/04061,HS3_5
2011/03/N/HS3/04064,HS3_2
2011/03/N/HS3/04064,HS3_4
2011/03/N/HS3/04064,HS3_1
2011/03/N/HS4/00368,HS4_14
2011/03/N/HS4/00368,ST10_15
2011/03/N/HS4/00375,HS4_10
2011/03/N/HS4/00375,HS4_13
2011/03/N/HS4/01388,HS4_5
2011/03/N/HS4/01388,HS4_10
2011/03/N/HS4/01388,HS4_11
2011/03/N/HS4/03090,HS4_6
2011/03/N/HS4/03819,HS4_14
2011/03/N/HS5/00986,HS5_7
2011/03/N/HS5/00986,HS5_6
2011/03/N/HS5/02802,HS5_7
2011/03/N/HS5/02802,HS5_10
2011/03/N/HS5/02816,HS5_5
2011/03/N/HS6/01689,HS6_4
2011/03/N/HS6/03573,HS6_2
2011/03/N/HS6/03573,HS3_6
2011/03/N/HS6/04849,HS6_1
2011/03/N/HS6/04849,HS6_3
2011/03/N/HS6/05137,HS6_8
2011/03/N/HS6/05137,HS6_11
2011/03/N/HS6/05137,HS6_21
2012/05/N/HS1/02794,HS1_2
2012/05/N/HS1/03303,HS1_4
2012/05/N/HS2/00589,HS2_3
2012/05/N/HS2/00589,HS2_5
2012/05/N/HS2/00589,HS2_12
2012/05/N/HS2/02734,HS2_8
2012/05/N/HS2/02836,HS2_11
2012/05/N/HS3/01051,HS3_1
2012/05/N/HS3/01051,HS3_2
2012/05/N/HS3/01051,HS3_12
2012/05/N/HS3/01425,HS3_8
2012/05/N/HS3/01425,ST4_3
2012/05/N/HS3/01425,ST10_10
2012/05/N/HS3/01713,HS3_1
2012/05/N/HS3/01727,HS3_1
2012/05/N/HS3/01768,HS3_8
2012/05/N/HS3/01778,HS3_1
2012/05/N/HS3/01778,HS3_3
2012/05/N/HS4/00395,HS4_3
2012/05/N/HS4/00395,HS4_9
2012/05/N/HS5/01532,HS5_2
2012/05/N/HS5/01621,HS5_10
2012/05/N/HS5/01817,HS5_10
2012/05/N/HS6/03884,HS6_14
2012/05/N/HS6/03894,HS6_5
2012/05/N/HS6/03894,HS6_1
2012/05/N/HS6/03937,HS6_2
2012/05/N/HS6/03937,HS6_6
2012/05/N/HS6/04061,HS6_1
2012/05/N/HS6/04061,HS6_3
2012/05/N/HS6/04061,HS6_4
2012/07/N/HS2/00966,HS2_2
2012/07/N/HS2/00968,HS2_1
2012/07/N/HS2/00968,HS2_2
2012/07/N/HS2/00968,HS2_14
2012/07/N/HS2/01265,HS2_8
2012/07/N/HS2/01265,HS3_2
2012/07/N/HS2/02700,HS2_1
2012/07/N/HS2/02700,HS2_2
2012/07/N/HS2/02700,HS2_14
2012/07/N/HS3/00825,HS3_8
2012/07/N/HS3/00825,HS3_12
2012/07/N/HS3/00825,ST10_15
2012/07/N/HS3/00866,HS3_11
2012/07/N/HS3/00878,HS3_8
2012/07/N/HS3/00878,HS3_9
2012/07/N/HS3/04122,HS3_8
2012/07/N/HS3/04122,HS3_4
2012/07/N/HS3/04122,HS3_5
2012/07/N/HS3/04135,HS3_10
2012/07/N/HS3/04135,HS2_1
2012/07/N/HS3/04135,HS3_1
2012/07/N/HS3/04169,HS3_11
2012/07/N/HS4/02790,HS4_7
2012/07/N/HS5/01717,HS5_2
2012/07/N/HS5/01717,HS5_3
2012/07/N/HS5/01724,HS5_2
2012/07/N/HS6/00464,HS6_1
2012/07/N/HS6/00464,HS6_3
2012/07/N/HS6/01477,HS6_5
2012/07/N/HS6/01477,HS6_1
2013/09/N/HS5/03103,HS5_6
2013/09/N/HS5/03103,HS5_11
2013/09/N/HS5/03103,HS6_2
2013/09/N/HS5/00057,HS5_6
2013/09/N/HS1/02868,HS1_10
2013/09/N/HS1/02868,HS1_5
2013/09/N/HS1/02868,HS2_14
2013/09/N/HS2/02221,HS2_6
2013/09/N/HS2/02221,HS2_5
2013/09/N/HS2/02221,HS2_1
2014/13/N/HS2/02779,HS2_11
2013/09/N/HS4/03742,HS4_5
2013/09/N/HS4/03742,ST10_13
